Radius (km),Azimuthal Speed (m/s)
4.34210526315789,4.8905109489051
6.9078947368421,6.71532846715328
8.88157894736842,9.63503649635037
11.0526315789474,14.9270072992701
13.4210526315789,20.4014598540146
15.3947368421053,27.5182481751825
17.1710526315789,32.992700729927
18.5526315789474,39.014598540146
19.9342105263158,45.2189781021898
20.7236842105263,49.7810218978102
21.3157894736842,53.6131386861314
22.6973684210526,57.2627737226277
24.4736842105263,61.2773722627737
25.8552631578947,64.014598540146
28.421052631579,68.029197080292
29.8026315789474,67.4817518248175
31.1842105263158,68.3941605839416
33.3552631578947,66.021897810219
36.3157894736842,65.4744525547445
38.8815789473684,63.2846715328467
40.6578947368421,61.2773722627737
42.2368421052632,59.4525547445256
45.1973684210526,56.8978102189781
47.9605263157895,54.1605839416058
51.3157894736842,51.970802919708
55.0657894736842,49.963503649635
58.8157894736842,47.956204379562
61.1842105263158,47.2262773722628
64.1447368421053,45.9489051094891
66.3157894736842,44.6715328467153
69.671052631579,43.9416058394161
71.4473684210526,45.4014598540146
73.0263157894737,44.8540145985402
74.8026315789474,45.4014598540146
76.1842105263158,44.6715328467153
77.9605263157895,44.6715328467153
79.3421052631579,43.5766423357664
81.7105263157895,44.8540145985402
83.8815789473684,44.3065693430657
85.6578947368421,46.1313868613139
86.8421052631579,48.5036496350365
88.2236842105263,47.043795620438
91.7763157894737,46.4963503649635
93.9473684210526,45.5839416058394
96.5131578947369,44.3065693430657
99.0789473684211,44.3065693430657
101.842105263158,45.2189781021898
105.394736842105,46.4963503649635
107.368421052632,45.2189781021898
110.723684210526,45.2189781021898
113.684210526316,44.3065693430657
117.039473684211,43.7591240875913
121.381578947368,43.7591240875913
124.539473684211,44.1240875912409
128.289473684211,44.3065693430657
129.671052631579,44.8540145985402
132.236842105263,42.1167883211679
134.210526315789,41.7518248175183
